Epoch,MAE,RMSE,MAPE
80,32.29,43.4,0.37
150,41.3,54.62,0.49
200,51.27,63.25,0.79
300,47.88,60.56,0.6
400,39.76,55.89,0.4
500,27.45,43.15,0.24
600,36.08,55.86,0.31
700,37.83,57.48,0.35
